"market_id","created_at","actual_delivery_time","store_id","store_primary_category","order_protocol","total_items","subtotal","num_distinct_items","min_item_price","max_item_price","total_onshift_dashers","total_busy_dashers","total_outstanding_orders","estimated_order_place_duration","estimated_store_to_consumer_driving_duration"
"6",2015-01-31 21:58:30,2015-01-31 22:55:32,"976","breakfast","2",1,650,1,650,650,NA,NA,NA,251,479
"6",2015-02-08 03:28:59,2015-02-08 05:32:11,"976","breakfast","2",5,1550,5,225,700,NA,NA,NA,251,1104
"6",2015-01-23 19:29:17,2015-01-23 20:25:25,"976","breakfast","2",6,1110,5,185,185,NA,NA,NA,251,584
"6",2015-02-03 22:27:24,2015-02-03 23:09:31,"976","breakfast","2",8,2115,8,150,650,NA,NA,NA,251,840
"6",2015-01-31 01:35:23,2015-01-31 02:16:43,"976","breakfast","2",2,1741,2,889,772,NA,NA,NA,251,597
"6",2015-01-24 23:17:11,2015-01-25 00:24:49,"976","breakfast","2",7,2250,2,225,900,NA,NA,NA,251,361
"6",2015-02-03 21:15:23,2015-02-03 22:38:32,"976","breakfast","2",1,3900,1,3900,3900,NA,NA,NA,251,893
"4",2015-01-30 05:28:05,2015-01-30 05:56:07,"5081","mediterranean","3",5,3355,4,153,1468,41,30,41,251,395
"4",2015-02-07 02:34:41,2015-02-07 03:20:31,"5081","mediterranean","3",4,2945,3,425,1245,129,128,261,251,380
"4",2015-02-02 19:01:40,2015-02-02 19:27:36,"5081","mediterranean","3",3,4335,1,1445,1445,26,27,33,251,458
"4",2015-01-21 19:23:06,2015-01-21 20:15:06,"5081","mediterranean","3",3,2270,3,425,1245,66,64,132,251,367
"4",2015-02-05 05:14:58,2015-02-05 06:17:28,"5081","mediterranean","3",4,5135,4,600,1745,34,35,67,251,778
"4",2015-02-16 05:36:28,2015-02-16 05:57:30,"5081","mediterranean","3",2,1745,2,500,1245,35,24,20,251,514
"4",2015-02-03 00:34:26,2015-02-03 01:08:24,"5081","mediterranean","3",1,1745,1,1745,1745,29,27,39,251,815
"4",2015-02-10 02:05:46,2015-02-10 02:49:59,"5081","mediterranean","3",5,4120,5,500,1245,81,70,120,251,360
"4",2015-02-15 06:11:12,2015-02-15 06:54:44,"5081","mediterranean","3",3,2975,3,775,1175,19,16,11,251,731
"4",2015-01-29 20:03:41,2015-01-29 20:38:12,"5081","mediterranean","3",3,3290,2,600,1345,74,74,158,251,203
"4",2015-01-24 19:48:45,2015-01-24 20:31:14,"5081","mediterranean",NA,2,2070,2,325,1745,36,60,59,251,681
"4",2015-02-10 19:56:55,2015-02-10 20:55:33,"5081","mediterranean","3",9,8830,6,600,1345,75,73,154,251,633
"4",2015-01-29 05:48:43,2015-01-29 06:23:38,"5081","mediterranean","3",3,2970,3,600,1745,12,17,15,251,587
NA,2015-02-01 05:32:34,2015-02-01 06:01:21,"5081","mediterranean","3",2,1845,2,600,1245,33,23,30,251,581
"4",2015-02-05 05:52:07,2015-02-05 07:30:47,"5081","mediterranean","3",2,2590,2,1245,1345,18,21,38,251,776
"4",2015-02-14 22:31:34,2015-02-14 23:23:35,"5081","mediterranean","3",2,2690,1,1345,1345,34,31,42,251,545
"4",2015-02-03 21:15:36,2015-02-03 21:36:24,"5081","mediterranean","3",3,1970,3,100,1245,43,39,47,251,396
"4",2015-02-10 18:57:15,2015-02-10 19:21:45,"5081","mediterranean","3",1,1000,1,1000,1000,43,40,68,251,693
"4",2015-02-12 05:58:57,2015-02-12 06:28:18,"5081","mediterranean","3",2,1700,2,850,850,16,11,10,251,793
"4",2015-01-26 01:40:45,2015-01-26 02:17:37,"5081","mediterranean","3",6,3700,5,300,850,70,97,92,251,441
"4",2015-01-28 05:17:25,2015-01-28 05:52:15,"5081","mediterranean","3",2,2095,2,850,1245,25,22,27,251,776
"4",2015-01-25 21:51:48,2015-01-25 22:54:23,"5081","mediterranean","3",4,3515,4,325,1345,65,77,37,251,564
"4",2015-02-09 01:30:32,2015-02-09 02:07:29,"5081","mediterranean","3",3,3090,2,600,1245,77,61,99,251,244
"4",2015-02-08 03:40:34,2015-02-08 04:09:51,"5081","mediterranean","3",1,1245,1,1245,1245,114,110,175,251,191
"4",2015-02-03 19:14:43,2015-02-03 20:45:40,"5081","mediterranean","3",13,9980,10,100,1345,62,58,102,251,894
"4",2015-02-14 02:19:13,2015-02-14 03:15:28,"5081","mediterranean","3",2,2170,2,925,1245,116,116,184,251,268
"4",2015-01-25 02:54:25,2015-01-25 03:54:20,"5081","mediterranean","3",2,2790,2,1345,1445,102,123,160,251,496
"4",2015-01-22 22:15:36,2015-01-22 22:46:51,"5081","mediterranean","3",2,1545,2,200,1345,24,19,21,251,542
"4",2015-01-23 05:48:27,2015-01-23 06:12:48,"5081","mediterranean","3",2,2045,2,600,1445,18,11,16,251,627
"4",2015-02-13 05:04:25,2015-02-13 05:27:29,"5081","mediterranean","3",1,1245,1,1245,1245,55,42,43,251,531
"4",2015-02-08 19:29:16,2015-02-08 19:45:16,"5081","mediterranean","3",1,1245,1,1245,1245,30,26,39,251,329
"4",2015-02-18 03:28:46,2015-02-18 04:07:29,"5081","mediterranean","3",6,2490,2,100,1045,102,95,121,251,385
"4",2015-02-04 05:42:05,2015-02-04 06:14:06,"5081","mediterranean","3",1,925,1,925,925,14,16,17,251,684
"1",2015-02-09 04:19:32,2015-02-09 04:52:03,"5081","thai","1",1,1245,1,1245,1245,74,68,96,251,645
"4",2015-02-04 20:26:34,2015-02-04 20:56:02,"5081","mediterranean","3",1,1245,1,1245,1245,76,72,111,251,465
"4",2015-01-22 05:07:12,2015-01-22 05:30:18,"5081","mediterranean","3",3,3170,3,925,1245,35,21,22,251,508
"4",2015-02-11 19:48:02,2015-02-11 20:39:39,"5081","mediterranean","3",3,3445,3,925,1345,76,77,184,251,785
"4",2015-01-24 06:41:46,2015-01-24 07:27:29,"5081","mediterranean","3",4,1700,4,100,775,4,6,8,251,581
"4",2015-02-04 01:01:46,2015-02-04 01:47:48,"5081","mediterranean","3",1,950,1,950,950,67,53,56,251,578
"4",2015-02-06 19:16:32,2015-02-06 20:17:26,"5081","mediterranean","3",4,4860,3,925,1345,64,64,120,251,415
"4",2015-02-17 05:35:49,2015-02-17 06:18:30,"5081","mediterranean","3",1,1245,1,1245,1245,20,16,15,251,620
"4",2015-02-01 02:21:55,2015-02-01 03:16:40,"5081","mediterranean","3",7,6050,7,600,1175,88,74,131,251,830
"4",2015-02-03 22:40:51,2015-02-03 23:15:16,"5081","mediterranean","3",1,1345,1,1345,1345,22,19,18,251,445
"4",2015-02-08 06:31:01,2015-02-08 07:12:58,"5081","mediterranean","3",3,3490,2,600,1445,12,10,13,251,542
"4",2015-02-12 03:25:53,2015-02-12 04:19:17,"5081","mediterranean","3",6,4415,6,575,1000,101,91,141,251,795
"4",2015-02-16 04:15:53,2015-02-16 04:55:34,"5081","mediterranean","3",1,1345,1,1345,1345,86,73,89,251,440
"4",2015-01-26 04:15:41,2015-01-26 04:30:04,"5081","mediterranean","3",2,1670,2,425,1245,41,68,48,251,190
"4",2015-01-25 04:13:50,2015-01-25 05:09:05,"5081","mediterranean","3",1,1745,1,1745,1745,73,108,111,251,327
"4",2015-01-23 06:21:17,2015-01-23 07:09:41,"5081","mediterranean","3",3,1345,3,100,1045,12,6,7,251,443
"4",2015-02-03 20:52:16,2015-02-03 21:18:39,"5081","mediterranean","3",1,1000,1,1000,1000,63,55,65,251,691
"4",2015-01-25 20:30:04,2015-01-25 20:56:12,"5081","mediterranean","3",3,1575,3,100,1175,67,78,43,251,416
"4",2015-01-25 06:18:54,2015-01-25 06:40:00,"5081","mediterranean","3",3,2000,2,300,850,17,42,14,251,407
"4",2015-02-16 02:08:38,2015-02-16 03:34:32,"5081","mediterranean","3",6,3815,5,100,1345,113,109,194,251,387
"4",2015-02-15 20:58:15,2015-02-15 21:48:10,"5081","mediterranean","3",5,6725,4,1245,1445,46,40,60,251,628
"4",2015-02-16 04:35:09,2015-02-16 05:00:45,"5081","mediterranean","3",2,2370,2,625,1745,74,67,73,251,204
